                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.45602,                0.30167,                0.87374,                 0.8715,                  0.849,                0.88927,                 0.7533,                0.58156,                0.43982,                0.90147,              5.479e-05,              5.479e-05,              5.479e-05
                    140,                0.47764,                0.30832,                0.87799,                0.87581,                0.80078,                0.87043,                0.73629,                0.58264,                0.43858,                0.90576,              5.446e-05,              5.446e-05,              5.446e-05
                    141,                0.43864,                0.29336,                 0.8772,                0.82967,                0.85302,                0.89717,                0.76133,                0.58146,                0.42409,                0.90045,              5.413e-05,              5.413e-05,              5.413e-05
                    142,                0.46009,                0.30158,                0.86909,                 0.8448,                0.84301,                0.89959,                0.75936,                0.58644,                0.40382,                0.90004,               5.38e-05,               5.38e-05,               5.38e-05
                    143,                0.43811,                0.28938,                0.86203,                0.84845,                0.88146,                0.90957,                0.75937,                0.59134,                0.40738,                 0.9034,               5.38e-05,               5.38e-05,               5.38e-05
                    144,                0.42596,                0.28346,                0.86399,                0.82201,                0.87155,                0.90332,                0.76094,                0.59039,                0.42753,                0.90464,              5.314e-05,              5.314e-05,              5.314e-05
                    145,                0.44659,                0.28754,                0.86678,                0.87298,                0.81443,                0.86903,                0.73521,                0.59413,                0.41113,                0.90493,              5.281e-05,              5.281e-05,              5.281e-05
                    146,                 0.4617,                0.29168,                0.87329,                0.85771,                0.82376,                  0.897,                0.74725,                 0.5949,                0.42479,                0.90086,              5.248e-05,              5.248e-05,              5.248e-05
                    147,                0.42856,                0.27876,                0.86562,                0.85973,                0.90162,                0.92144,                0.75679,                0.58963,                0.39518,                 0.8993,              5.215e-05,              5.215e-05,              5.215e-05
                    148,                0.43878,                0.28375,                 0.8623,                0.87337,                0.87823,                0.92218,                0.75969,                0.58781,                0.41675,                0.89343,              5.182e-05,              5.182e-05,              5.182e-05
                    149,                 0.4251,                0.27508,                0.86829,                0.83298,                0.84147,                0.89195,                0.74729,                0.60278,                0.45827,                0.89512,              5.149e-05,              5.149e-05,              5.149e-05
